Mobile	Area	STR	DEX	STA	Dislikes	Level	PACIF	VPACIF	FPACIF	Speed	React	Interv.	MS	KS	Points
Dragon	Druid Isle	200	200	800	Creatures	Novice	50	50	50	8	0	No	✓	✓	1,950
Giant0	Goblin Realm	310	40	280	Creatures	Champion	10	20	1	8	2	10			678
Giant2	Goblin Realm	300	40	280	Creatures	Champion	10	20	1	8	2	10			654
Giant1	Goblin Realm	230	50	280	Creatures	Champion	10	20	1	8	2	10			654
Giant3	Goblin Realm	250	50	250	Creatures	Champion	10	20	1	8	2	10			636
Vampire	Evil Wood	100	80	100	Players	Novice	1	1	1	17	2	100	✓		354
Wraith	Evil Wood	80	120	60	Players	Novice	100	10	10	11	1	No	✓		238
Mammoth0	North Mountain	200	45	230	Players	Novice	500	500	500	18	2	72		✓	200
Skeleton1	Roaming	72	100	80	Players	Novice	100	1	70	20	2	100	✓		226
Tiger	Pagoda	165	60	175	Creatures	Novice	5	1	1	15	2	55		✓	360
Santa Claus	Roaming	130	80	160	None	Novice	1000	1	980	8	2	0	✓		200
Lion1	Graveyard	155	60	170	Creatures	Novice	800	1	INF	12	2	49		✓	330
Griffin	Keep	120	90	140	Players	Novice	1	1	1	23	2	100	✓		306
Wolf	Yew Tree	140	70	150	Creatures	Novice	1	1	1	30	2	100		✓	298
Octopus	Sea	150	100	95	Fish	Novice	60	60	60	25	1	0		✓	402
Crocodile	Swamp	160	40	220	Creatures	Protector	8	8	8	39	2	No		✓	348
Skeleton0/2	Roaming	80	80	80	Players	Novice	100	1	70	20	2	100	✓		202
Wyvern	Keep	140	65	130	Creatures	Novice	1	1	1	40	2	100	✓	✓	238
King Dwarf	Dwarf Realm	90	95	100	Players, Undead	Novice	30	1	1	7	SC-2	75	✓		204
Old Man	Roaming	65	125	90	Players	Novice	400	50	380	20	1	23			154
Thief	Roaming	90	125	80	Players	Legend	200	50	180	15	1	No			202
Narwhal	Sea	110	65	125	Players	Novice	60	60	60	7	3	0		✓	196
Shark0/1	Sea	90	80	120	Players	Novice	14	5	14	4	3	0		✓	178
Stegosaurus	Roaming	120	30	250	Players	Novice	1000	1000	1000	33	4	74		✓	186
Stag	Gardens	120	60	120	Players	Swordsman	50	50	50	40	2	0		✓	178
Giant Snake	Pagoda	120	60	120	Creatures	Novice	1	1	1	4	0	No		✓	292
Snow Leopard	North Mountain	110	95	80	Mammals	Novice	100	100	100	10	2	No		✓	202
Ghost	Pagoda	90	150	43	Players	Novice	30	1	1	3	1	10	✓		192
Golem	Sanctum	110	60	120	Creatures	Novice	1	1	1	4	2	100	✓		112
Pony	North Mountain	105	55	130	Players	Novice	500	500	500	20	2	0		✓	40
Ogre	Cave	160	32	150	Creatures	Novice	1	1	1	30	2	100			158
Grizzly	North Mountain	170	50	90	Mammals	Superhero	20	20	20	31	2	0			322
Ghoul	Graveyard	110	50	90	Players	Novice	1	1	1	11	2	No	✓		162
Spider	Ruin	110	60	110	Creatures	Novice	10	10	10	4	2	13			150
Maiden	Keep	80	110	66	Players	Novice	400	1	380	5	1	18			128
Hunchback	Monastery	100	80	85	Players	Yeoman	50	1	30	2	2	0			150
Ape0	Pagoda	120	45	120	Players	Novice	20	5	1	25	1-3	15		✓	164
Mermaid	Sea	65	100	75	Players	Novice	500	500	480	7	2	5	✓	✓	120
Monk	Pagoda	75	85	90	Players	Novice	INF	INF	INF	40	2	100			90
Bison	Roaming	110	40	135	Players	Novice	400	100	400	55	2	60		✓	138
Reindeer	Roaming	120	40	120	Players	Novice	400	50	400	9	2	59		✓	50
Surly Dwarf Guards	Dwarf Realm	80	75	90	Players, Undead	Novice	8	1	1	17	SC-2	100	✓		108
Dwarf48	Dwarf Realm	80	75	90	Players, Undead	Hero	1	1	1	23	SC-2	0	✓		108
Albatross	Sea	35	110	120	Players, Rodents	Protector	300	300	300	20	1	0			130
Goat	Roaming	110	50	100	Creatures	Swordsman	20	20	20	20	2	0		✓	118
Apes1-7	Pagoda	110	45	110	Players	Novice	80	5	1	25	1-3	15		✓	128
Ape8	Pagoda	110	45	110	Players	Novice	15	5	1	25	1	15		✓	128
Ape9	Pagoda	110	45	110	Players	Novice	15	5	1	6	1-3	15		✓	128
Ape10	Pagoda	110	45	110	Players	Novice	80	5	1	25	1-3	15		✓	128
Ape11	Pagoda	110	45	110	Players	Novice	80	5	1	25	1-3	15		✓	128
Burly Dwarf Guards	Dwarf Realm	75	75	90	Players, Undead	Novice	8	1	1	17	SC-2	100	✓		108
Ox	Roaming	120	30	150	Players	Novice	1000	100	1000	70	2	50		✓	59
Boar	Gardens	80	55	115	Rodents	Novice	20	5	20	25	2	0		✓	115
Lynx	North Mountain	85	90	65	Birds	Novice	40	40	40	14	2	0		✓	117
Spectre	Keep	105	60	40	Players	Novice	5	1	1	9	2	100	✓		214
Phoenix	Pagoda	55	110	75	Players, Rodents	Protector	INF	1	INF	20	1	0	✓		110
Eagle	Dwarf Realm	66	110	65	Players, Rodents	Protector	10	1	10	20	1	No			90
